LABEL ,COMMENTS
Positive ,Oh my God em so excited the old cast with the new one!!!!
Negative ,The story was very disapointed
Negative ,Movie sucked balls barely had anything to do with dinosaurs.
Negative  , Looks horribly mid
Positive ,Good movie but the melanated girls character was a little over board with her choice of words linking her to someone who grew up in “ the hood “
Negative ,"Worst movie ever . Complete bullshit, it's basically the first movie all over again . Little to no effort put into the script or new scenes"
Negative ,so many different plots you could have taken just WHY WHY WHY HOLY SHUTSDRG MER YNJKsdrfgbJsedrgbhjGHUIr huip;
Positive ,Dr. Grant has his beard! 🧬 Love to see Dr. Malcolm is back! 🧮
Negative ,This movie was so boring i wanted to walk out of the theater but i already had paid 🥲
Positive ,Love this
Positive ,My childhood and this movie ❤️
Negative ,"Don’t watch it, it was so boring I had to walk out."
Positive ,omg gigannotosaurus
Positive ,Dilophosaurus is back!
Positive ,I watched it in my birthday June 28 and it is my favorite movie of all time! Loved the old cast!
Positive ,"My favorite part was when Owen dressed up like peter quill and jumped out of a plane while yelling "" it's morbin Time"""
Negative ,Garbage film.
Positive ,Sam Neil started it all. Back to finish it.. LOVE IT
Positive ,this looks  incredible!
Negative ,bad movie
Positive ,"This movie was awesome. It had issues, but it was still damn fun Alright. Rotten Tomatoes don't know jack sh*t."
Negative ,this will be dogshit
Positive ,This movie was great!
Positive ,You guys have to make more movies they are og
Positive ,so this is the jurassic world end game...cant wait to see it
Positive ,I liked this movie
Negative ,crap
Positive ,This is so cool!!😄
Positive ,Just watched the movie today! It did not disappoint. Well done.
Neutral ,What Day is Jurassic world Dominion coming on HBO max
Negative ,"Dude this movie sucked ! Pointless storyline, hollow characters, ridiculous dialog, cliches all over the place. This whole trilogy is crap"
Positive ,Loved the movie! 🍿 🦕 🦖 🍿 My kiddo enjoyed himself 🖤 thank you. && it’s [[ amazing ]] that the whole crew came back and some scenes were recreated! L🖤VED.
Negative ,"Let this franchise die already, milking it makes it worse. JP1, 2 and 3 remain to be the best Jurassic park movies."
Positive ,"Now thats a trailer, didn't give too much away showed just enough, well done."
Negative ,"The whole movie just looks like a videogame, sorry. Too much cgi."
Positive ,Is that flying pterosaur that attacks the plane  Quetzalcoatlus??!! That would awesome ❤️
Positive ,That's my favorite movie
Positive ,Plz make more jrassic world movies you guys are better then any movies ever
Positive ,trailer is so well done though. love it
Positive ,Asome movie I watched it in 4DX it was amazing must say the younger people will love it
Negative ,What a pile of
Negative ,"I wish they would kill off this franchise, Hollywood still milking the same garbage over n over"
Positive ,Goodbye jurassic world the last film 😭😭😭 i watch it it was so good but this is the last movie of jurassic world  Welcome to jurassic park 🦖
Negative ,More Hollywood garbage!
Negative ,"They say ""epic conclusion"" like this franchise is ever going to end."
Negative ,Trash.
Positive ,"Most fun 4DX experience I've had so far, and gonna be really hard to top! 😎"
Negative ,This movie sucked and is targeted for chinese markets
Positive ,Yes! Dinosaurs with feathers! It's worth seeing in theatres just for that reason alone.
Positive ,This was my childhood great seeing it back man
Negative ,This was their worst one.
Negative ,"DON’T spend your money or time to watch this, is a total waste of time"
Positive ,so cool i wish the nice dinosaurs were still alive so i am watching it at the movie theater i love the first one
Positive ,"It's cool that there adding new dinosaurs, sad to see that the Dilophosaurus is made to look that way"
Negative ,Really milking it.
Negative ,"film was rubbish , worst in franchise . trailer built it up"
Negative ,Movie is trash
Positive ,Lookin good
Positive ,Bruh this tralier is so good and it was also a good movie for me it was SICK!
Negative ,OK I went to cinema to watch and guys this movie is sooooooo bad half of audience go out in first hour
Positive ,BEST EVER
Neutral ,is this the last movie?
Positive ,My son loves this!
Negative ,wtf
Negative ,Yawnnnnnnnnnnnnnnnn
Negative ,The movie was pure ass.
Negative ,Worst movie 😂
Negative ,This movie was shit!
Neutral ,Seeing this from india
Negative ,We just left the theatre 20 mins after the interval......we all felt sleepy the whole time..... Jurassic park is no more crazy now😕
Negative ,"Terrible! kids movie, stupid, soap ."
Negative ,The movie was bad 👎🏻
Positive ,I liked the part where Owen grady distracts the T rex with a dance off
Neutral ,Is this the prequel to a real monster hunter world movie?
Negative ,"#Imo One thing that ruin this whole franchise is the take to emerging the human clone, like wtf they were into right now"
Negative ,Way too much FORCED diversity it makes the movie kinda silly...
Negative ,Behold the worst movie ever made
Positive ,Best👍 5 ⭐⭐⭐⭐⭐
Neutral ,I was here because of ads! 
Positive ,I really recommend watching this movie! Its so good
Positive ,Very nice movie i love this movie so much
Negative ,"Not 1 active braincell was used, during the script writing of this movie."
Negative ,I think I have to accept that Jurassic World films are for kids and stop hoping for a tense Jurassic Park movie
Negative ,The dinasoars are secondary in their own film that just sums up this shit bomb of a film
Neutral ,Where's Lexi and Tim?
Positive ,I thought he movie was awful. Don't let the dark theme of this trailer fool you into thinking you're going to watch an epic finale with a good plot
Positive ,The movie it's good
Positive ,I love how they gatherd all up;) Some if the people are from the first Jurassic world! But it is sad this is. The last Jurassic world
Positive ,I like the movie
Negative ,please don't spend your money watching this it's garbage
Negative ,boring ass movie
Neutral ,Physics my friend physics
Positive ,It’s so cool seeing Ellie Alan and Malcom again
Negative ,Movie sucked if I wanted to watch a bunch of humans talking I would of watched espn first take
Negative ,Haven’t seen it but sounds like my initial hunch was correct- “a movie written by idiots for idiots”
Negative ,Worst movie I’ve seen this year
Negative ,People should get paid to go watch this dumpster fire as a form of torture. What a load of crap!
Negative ,"Not so good movie, at least they don't bring back that vegan teacher crush in jurassic park 2"
Negative ,"Out of all JP and JW movie, Dominion is the most BORING and POINTLESS movie in the franchise."
Negative ,An absolute trainwreck of the highest order.
Negative ,This movie sucks I watched it yesterday
Negative ,Just watch this movie yesterday. Not really good tbh
Negative ,This movie sucked
Positive ,This is beautiful
Positive ,What a great movie and conclusion. I enjoyed it
Negative ,One of the worst movies I've ever sat through
Negative ,I swear 99% of AAA movies being released nowadays are a waste of life
Positive ,awesome film
Negative ,This film is so insulting
Positive ,"Just watched the movie today. I liked it alot even though i've never watched a jurassic world movie, A strong 9/10 from me."
Positive ,This movie was fun to watch.
Positive ,I watched the movie with my girlfriend and we loved it but we were hoping that there was going to be more movies
Negative ,I’m telling you now this movie is bullshit no story no dinasaur just a waste
Neutral ,I wish they brought back the spinosaurus
Negative ,That is one big pile of shit
Neutral ,So does guns not exist in this world?
Positive ,This trailer is better than the latest Dr Strange movie.
Positive ,i just saw the movie and i have to say that BRYCE DALLAS HOWARD KILLED THIS MOVIE!!!!! SHE’S FUCKING AMAZING
Positive ,"Saw it last night, Amazing movie! ignore the stupid critics with crap media studies degree's haven't got a clue what they are on about!!!"
Positive ,these fanfiction films really look impressive these days!
Negative ,They absolutely destroyed this movie. Dont waste ur money
Positive ,I saw it the movie it was good and ok
Neutral ,Dinosaurs in winter ????
Positive ,Can't keep CALM
Positive ,This movie was really good 👍 👍
Neutral ,We live in a society
Positive ,"I saw this on the day it came out. It was damn good, fuck what other people think"
Positive ,This movie was a lot better than I expected it to be. Especially because the second one sucked
Positive ,This is sick
Positive ,Love the old cast coming back BUT I really would love to see Ariana Richards and Joseph Mazzello all grown up some 30 years later.
Positive ,I’ve just been to watch this in cinemas imax screen.My favourite Jurassic world and Jurassic park movie
Positive ,"Just went back from watched the movie, IT WAS AMAZING!! Honestly it was well served, entertaining, and loved the old cast back to the movie. Love it"
Neutral ,Is this the last movie???
Neutral ,is that ark theme?
Positive ,amazinggg moviee must watch
Positive ,"words can't describe my excitement when i saw alan, ellie, and malcom back"
Positive ,Nice
Positive ,thumbs up emoji x8
Neutral ,What is this movie rated?
Positive ,this is a good movie i watched it today it is GOOD TO SEE OLD CAST
Negative ,It's sad how dumb new movies are.
Negative ,Looks really dumb.
Neutral ,Bitcoin buy ok
Positive ,This moive was so good!
Neutral ,I remember when virtually every dinosaur was a threat in some way
Negative ,"In 90s, Jurassic Park was scary horror movie Now its for children only"
Positive ,Nice
Positive ,see about 3 times really good movie
Positive ,So proud this was partially film in my country Malta 🥰🥰. Going to watch it 3D tonight :)
Positive ,Sick
Positive ,long neck dinosaur voice so amazing
Negative ,This movie sucks ass. CG is so so bad. I feel like I was tricked into this movie by fake reviews.
Positive ,Holy Shiiii!!!! Looks amazing
Positive ,It's better than jurassic park... Haha #stop_hating_JWD
Negative ,absolutely stupid. no words
Positive ,Watched. Really nice. To me its the best among the 3
Positive ,I loved it! It's really good when there are no boomers/critics yelling otherwise
Neutral ,"Whats next,raptors on mars."
Positive ,"The story was pretty weak but the movie itself was enjoyable, even if it was a tad predictable, it still had it’s moments. I’d recommend it. I"
Positive ,I saw and it was so good
Negative ,SO BAD AHAHAHAHAHAHAHAHA
Positive ,SLAY
Positive ,I LOVE JURASSIC WORLD/PARK
Neutral ,To think that it all started with a little mosquito trapped in an amber
Positive ,Amazing
Positive ,"No matter what bad critics for this episode, i still love Jurassic World anyway. ❤❤❤"
Neutral ,looks average
Neutral ,Legends say that Dr. Grant still have those eggs
Positive ,Fantastic movie 😎
Positive ,I watched this in the theaters and it was amazing!!
Negative ,Boringgg same plot always
Positive ,"The addition Of Jeff, Sam, and Laura just perfects this movie"
Neutral ,Spidermen got reunited
Negative ,Worst film ive ever seen
Positive ,Movie was good and old characters remember me when I was child and thay were playing young roles ❤️😊
Positive ,the movie was amazing
Negative ,Felt like getting a refund after watching this movie in the theater
Negative ,Stupid ass movie boring as fuck
Positive ,Loved how the 2 story lines became one.  Needed more Chris Pratt.
Positive ,I watched the movie yesterday. SUCH A GREAT MOVIE!! THE OLD CAST DID AN AMAZING JOB!!
Negative ,Pretty boring and too long
Positive ,"alan , finally ❤🔥😍😍"
Positive ,Was worth watching the Movie
Negative ,"shit movie, shit acting, shit dinosaurus"
Positive ,I have seen the whole thing at the movies I love it so much that I am look at it again
Positive ,This is the best. Can't wait to watch with my kids
Positive ,Im in love with all Jurassic Park movies ❤
Positive ,Awsmmmm
Positive ,Back to this masterpiece for the 100th time love Jurassic since young - Jun 2022
Neutral ,The us and the world should find a way to bring back Dino's I should love to live with Dino's
Positive ,Wow this looks super amazing I haven’t saw anything like this since no way home and endgame
Positive ,i like this
Positive ,damn this movie is kinda exciting ngl
Positive ,Truly excited for this movie💯❤
Positive ,Amazing
Positive ,The original cast has returned. Thats so sick. I cant wait for this next month!
Positive ,My favorite movie !! And the baby Raptor is so cute !
Positive ,nostalgic and epic
Positive ,This one I need to watch!
Positive ,"Can’t wait to see this, super excited🥰"
Positive ,Omg I really want to see this movie especially since the cast from Jurassic park are returning
Positive ,Cool Movie ...
Positive ,"I love this film, been watching since i was younger...."
Positive ,screaming sm
Positive ,I wish I could experience watching this trailer for the first time again
Positive ,This is going to be awesome!
Positive ,The best movie I know it
Positive ,Wooooooooooooow fantastic
Positive ,Omg this looks amazing
Positive ,"Outstanding, incredible movie"
Negative ,"Wife forced me to see this and as I expected, it is garbage."
Positive ,This looks really good 👍🏻
Positive ,i watched it a while a go great movie
Positive ,I liked this film more better than the first two Jurassic World movies.
Negative ,Worst movie ever
Positive ,i really like this movie
Positive ,Watching it now not bad 👍
Negative ,One of the worst films I’ve ever seen
Neutral ,When's Jurassic World Dominion Full Movie?
Positive ,It was a coo movie. Not like the last 2 Jurassic worlds. Solid 7/10
Negative ,WORST JURASSIC WORLD
Negative ,Do not go watch this. It is terrible.
Positive ,Gathering all characters from each movie is just insane am rly looking forward to watch this in full HD!
Negative ,This was soooo terrible
Negative ,Yeah it sucked
Positive ,"Loved the movie regardless of what critics say! Gotta love the OG crew and new Dino’s, I would watch it again!!!"
Positive ,Looks good
Negative ,So bad. I left halfway through the movie. So 🗑
Negative ,this is the worst movie of Jurassic Park/world series😡
Negative ,This movie sucked pretty bad. They should be ashamed
Positive ,i really hope its not the end for this franchise 🥲
Positive ,Nice movie 👍
Positive ,A great moviee!!
Positive ,I like this one !
Positive ,"Can't wait for this movie, I'm so glad the actor have reunion"
Positive ,I'm not crying you are crying 😭
Positive ,Saw the movie today. Absolutely beautiful movie
Positive ,One thing I'll say about the film is it's definitely better than Fallen Kingdom
Positive ,Blues baby is so cute
Positive ,Good movie just watched it today
Neutral ,Why does he wave hand?
Positive ,Loved being an extra in this film doing the lecture scene with Jeff Goldblum ill never forget it ! :-)
Positive ,So cool Trailer
Neutral ,Seen the movie yesterday
Positive ,Super Awesome .. I really wana see this the old cast is back !
Negative ,No good movie
Positive ,I Like This Trailer ❤️💙💜
Positive ,More than expected 😭
Positive ,"ive literally just got out of the cinema after watching it and... I LOVED IT! i think its a brilliant end to the series, i would definitley recommend it. the action scenes are amazing."
Negative ,This movie is shit. Saw it last night. Awful
Positive ,I am so hyped for this movie although really sad to be the last one😢 . But it is nice seeung the old cast all back
Positive ,I love quetzalcoatlus
Positive  ,0:27 owowo owowowowwww www 0:44 AGAIN MORE owowowowowowowoww
Positive ,nice
Positive ,"Honestly it's the best of the new movies, it would've been pretty good without these 3 but they made it, great film"
Positive ,People keep complaining about the story well they just gave us a great jam packed dino action film... Are you not entertained? 😎 Haha
Neutral ,Is that the final movie for the dinos
Positive ,I loved the movie so so so much. Owen Grady has always been my FAVOURITE ♥️♥️♥️ he looked so handsome in the movie…………i am screaming
Positive ,Just watched it and all I can say is ICONIC!👏🏽💯
Positive ,#stop_hating_JWD
Neutral ,Its not mine
Negative ,This movie is gave me terminal cancer
Positive ,Can’t wait to watch this today in the afternoon
Neutral ,I'm about to watch this movie for the first time
Positive ,This movie is good I seen it
Neutral ,I'm in ciname now waiting for it to start
Positive ,bruh i already watched it it was cool plz watch plz bye
Positive ,"I haven't seen any of the Jurassic World films, but I really love all the shots of dinosaurs against the world's landscapes."
Neutral ,Arriving in a helicopter over a fantastic landscape clich
Positive ,Congrats on making a ton of money. Well deserved. More than 140 million dollars opening weekend domestically
Negative ,This looks like another flop...
Positive ,I’m so ready for this
Negative ,Same old same old with these movies.
Neutral ,WHERES JOE MAZZELLO?!?!?!!?!
Negative ,worst movie i have ever seen lol. ruined my birthday.
Positive ,I cant wait to see this movie!!! 😀😀😀
Negative ,"This shit movie , I would like to get the refund"
Neutral ,The last one is a spinosaur Or giganatosaurus?
Positive ,OMGGG I LOVE ITTT!!!😍😍😍🥰🥰
Negative ,That movie Destroyed Me
Positive ,Can't wait!!! This is going to be BIG!!!
Positive ,Very excited! I love the Jurassic Park and Jurassic World movies!
Positive ,This  is my favourite movie
Positive ,looks so goooood
Neutral ,Thought this was the first trailer
Positive ,Holy shit the original cast !!!!! I am so ready for this movie .
Neutral ,Guns lots of guns ??
Positive ,It is so good
Positive ,Finally someone with feathers
Positive ,I can’t wait to see Jurassic World Dominion
Positive ,I will love this movie!
Neutral ,Why don't they have Chris Pratt riding a velociraptor in this movie?
Positive ,I can't wait
Neutral ,What if the bring back spino after 20 years
Positive ,"I Will watching, i must watching!!! I missed blue!!!!"
Positive ,The trailer is so good.
Positive ,the computer animation for dinios is amazing
Positive ,Was waiting for this forever
Positive ,Icant wait for this
Neutral ,Average movie.
Neutral ,I already watch it yesterday
Positive ,"Movie honestly wasn't that bad. Old cast saved it quite a bit and it had it's moments. If people had to walk out on this movie, that's their own fault x,D"
Neutral ,I'm watching this movie tonight
Positive ,I don't care about others review. i was waiting for this movie since a year !!!
Positive ,I watched the movie 🍿 🎥 at cinema it was great 👍
Negative ,Audience were leaving halfway in my theatre
Positive ,Glad to see we’re gonna see the old Jurassic park gang in this film.
Negative ,Epic conclusion was not at all epic.
Neutral ,6.5 million years ago dinosaurs died
Neutral ,Guys here's the script for the movie Read more
Positive ,I'm excited.
Positive ,ONLY 58 DAYS BOIIII😎👍💙
Neutral ,I wonder if Vin Diesel will be in the next one
Positive ,OMG THIS IS REAL RIGHT NOW I LOVE JURASSIC WORLD 😆😆😆😅😄😃😁😄🆑
Positive ,I'm definitely gonna watch this movie in theatre..
Neutral ,Is it good??
Neutral ,Reptiles living in the snow
Positive ,I am wating for this movie.
Neutral ,Is Chris gonna throw his talking hat at these dinosaurs and possess their bodies
Positive ,I love this movie I don’t understand all the hate that’s been going on social media
Positive ,i’m going to see it in 4 hours it’s looks so good!
Negative ,I watch this movie today and it was awful
Positive ,"I. CAN'T. WAIT. So close, it's so close now! Cryy"
Neutral ,Is that a gigantosaurs??
Positive ,I am overwhelmed with nostalgia feels right now. The child in me is squealing with unparalleled delight. Bring on summer!!
Positive ,epic
Positive ,This is a must see movie.
Positive ,"Awww... is that Blue and her kid??? So adorable!!! I miss you, Blue.."
Positive ,I don't understand the movie but this is amazing I watch the movie
Neutral ,Jesus Christ loves you
Positive ,Who is still here after watching the movie? It was good in my opinion
Positive ,It's better than what I thought.
Positive ,"Chills, literal chills, all the hairs on my body give the standing ovation."
Neutral ,Can someone please have Pyroraptor ??and Baby Blue ??perform the Sacred Marriage? ????????
Positive ,I’m so exited to see the whole thing this is probobly gonna be the best movie they ever made!
Positive ,This seems promising. Crosses fingers
Neutral ,Did you know that it's coming on peacock
Positive ,I can’t wait to go see this movie this summer 😁😁😁
Positive ,OMG bruh the nostalgia😁. I can’t wait to see it!!!!!!!!
Positive ,Can't wait!! Can't wait!! Can't wait!! 😭😭
Neutral ,Blue had a baby!
Positive ,Im going to scream when i walk in the theatres to see this!
Neutral ,Let's wait and watch
Positive ,Can’t wait
Positive ,BABY BLUE LES GOOOO!!!!
Positive ,I love blue!
Positive ,I HAVE TO SEE THIS MOVIE.
Positive ,"so cool, I'm really looking forward to it"
Positive ,Wow
Neutral ,Name of the song playing
Positive ,YES!! SAM NEiLL iS BACK!!
Neutral ,Dinosaurs are better in jungle
Positive ,Wow this looks like an amazing fun incredible hot mess and I can’t wait to see it 😁
Neutral ,How many time we gonna see Chris Pratt on a bike or holding his hands up
Positive ,Im so excited
Positive ,So excited it brought me to tears
Positive ,Insanely magical😌
Neutral ,When will this release?
Positive ,FINALYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY 🦖🦕
Positive ,Just BEAUTIFUL
Neutral ,The guy look like from marvel
Positive ,What an amazing experience it has been with this franchise since my childhood...first day first show
Negative ,This movie so boring the old one even better
Neutral ,"Watched it 2 hours ago, it was ok. ??"
Positive ,Best movie i have ever watched
Negative ,lol waste of money
Negative ,"Horrible movie, complete disgrace to the trilogy"
Positive ,Seen this love it in 3D. Can’t wayyo see it again on tv
Neutral ,did they kidnap the firl
Positive ,I saw it last night I loved it.
Neutral ,should i watching this??
Positive ,"The movie wasn’t that bad. Kind of boring, weird plot, but not all that bad."
Neutral ,People now can take these as Pet in home
Positive ,it was soooooooooooo good
Positive ,"Who knew Amazing Spiderman dad is a main villian lmao 😂  just watch it, it a good movie"
Positive ,Saw the movie last night it's the best one yet
Neutral ,baby's name is beta.
Positive ,I wish we could just have one more. Realizing this is the last one it’s made me cry
Positive ,Love to see all of them together once again ❤❤❤👍😎🤝
Positive ,"Well, I finally got to see Jurassic World Dominion and I quite enjoyed it myself."
Neutral ,My man is scootering while dinos are around
Positive ,Went and seen the first one as a kid in the theater and now i will see the last one
Positive , Looks incredible
Positive ,awesome
Positive ,Can't Wait!!!!
Positive ,Can't wait
Positive ,CAN'T WAIT FOR THIS MOVIE
Negative ,Looks to be horse shit
Positive ,I get chills with blue and her baby
Positive ,i like the feathered raptor
Positive ,CONGRATS ON 50M VIEWS
Neutral ,How a cold blooded creature could adapt to cold?
Positive ,Can't wait to wait to see this 🔥🔥 Looks absolutely EPIC!
Negative ,This movie sucked so bad.
Negative ,its awful
Positive ,Can’t wait for this
Neutral ,Wonder if the grandkids will be in it.
Negative ,"Here after seeing the movie, & it was garbage"
Positive ,This movie was great
Neutral ,Where's the government?
Positive ,Looks wack 🙄
Neutral ,looks like Erik from x men
Neutral ,I think that girl looks a little like Emily Vancamp
Negative ,Not gonna lie but this is one of those reasons why Korean movies are better than Hollywood these days
Neutral ,"How many times we had heard them saying "" Run"" ."
Positive ,Great movie
Negative ,worst movie out of all the jurassic world movies. 3/10
Positive ,1:58 is my favorite scene from the trailer
Positive ,Watched the movie in theatre and loved every second of it
Negative ,"Terrible film, I think the good reviews are bots."
Negative ,"Lack of emotion, flat plot and story..."
Positive ,THE BEST MOVIE EVER SO THRILLING
Neutral ,1:56 FNAF LORE?
Negative ,A Really bad movie
Positive ,Wow nice everyone is back
Neutral ,"Jurassic World 3: Dominion will arrive on DVD and Blu-Ray Disc on Tuesday, August 16th, 2022."
Neutral ,New Film
Positive ,Super duper excited
Neutral ,Find baby blue
Neutral ,Bring this to Netflix
Positive ,I watched this movie in a movie Theater you guys should watch it it's really good
Positive ,bro i saw this shit yesterday all i got to say is well done on a success ive loved this franchise since i was a kid and only got better over the years and this is a perfect finish for the franchise
Positive ,"Great visuals, cinematography is class apart and awesome cast! Though slow paced and sound work taking back seat a little, nostalgic for sure and concept was a great!"
Neutral ,Is this OK to watch for 5 years old?
Positive ,I guess Goldblum's last line was only for the trailer or a deleted scene. I actually looked for it when watching the movie. Good finale for the franchise
Neutral ,Lets see what it turns out
Positive ,"Going to see it today, looking forward to it, and it sure looks like it won’t disappoint"
Negative ,Movie sucked if I wanted to watch a bunch of humans talking I would of watched espn first take
Negative ,Haven't seen it but sounds like my initial hunch was correct-a movie written by idiots for idiots
Negative ,Worst movie I've seen this year
Neutral ,"I bet thousands years ago, humans had even pet the dinosaurs."
Positive ,Its a Good movie
Negative ,boring.. remakes after remakes after remakes.. doesn't hollywood have anymore ideas?
Negative ,I don't like it. Dinosaurus seem so fake with computer! I prefer when they used robots in the first Jurassic Park
Negative ,Garbage
Positive ,Amazing movie. Don't believe those stupid reviews. I just came out of the cinema. Wonderful.
Negative ,Boring ass movie i fell asleep....That should tell you everything.
Positive ,most successful movies in my opinion
Negative ,"Really bad- Way too long, too many characters, dumb plot. Just plain bad."
Negative ,Pretty boring and too long
Negative ,Bullshit storyline
Neutral ,Seeing this!
Positive ,Awesome trailer waiting for it and kgf chapter 2.
Positive ,My most anticipated movie in 2022🔥🔥🤩🤩🥳💥🎉
Neutral ,"Before the movie comes out, I vote we name Blue's baby Blue Jr. Anyone with me?"
Positive ,Everybody saying the movie was trash but honestly it wasn’t too me
Neutral ,"I wonder if the release dates of some places are correct, one of them said 2 June, another 3 or 4 June"
Positive ,Wowwww we getting the old cast bet
Negative ,What a disappointment:(
Neutral ,How do you know if this is not a real world
Positive ,My 2nd favorite Jurassic movie. My favorite favorite is the third JP
Negative ,"Watched it last night & ngl, it was horrible... 🤦🏻"
Negative ,This movie is going to flop Soo hard
Neutral ,is that a Giga in the end ?
Positive ,Yessss
Positive ,This movie is gonna be amazing
Neutral ,Are there english subs fr this movie...?? Anybody.... Tell me ?
Negative ,Looks absolutely awful. So many cliches.
Positive ,I saw it today! Awesome! I'm going to go see it again while it's still in the theatre.
Neutral ,Can we watch this movie without watching any jurassic movies?!
Negative ,Movie is horrible and boring.
Positive ,I just went to see this. It was actually good. Ignore the haters
Negative ,Such a bad film l fall sleep while watching it
Neutral ,What kind of dinosaur is that
Positive ,I saw it yesterday and that was a damn banger i lot of ref from past movies i loved it.
Neutral ,Is this gonna be the last movie?
Positive ,Loved it broo
Positive , Looks like an amazing movie. Excellent minds.!
Neutral ,So does guns not exist in this world?
Positive ,Cool man
Negative ,that is one big pile of shit
Negative ,Movie is complete trash boring and long for no reason
Neutral ,Where can I watch this? Besides on a cinema
Negative ,Not worth the money…
Negative ,This is a terrible movie. Let this poor franchise die in peace.
Negative ,Universal Evil
Neutral ,Reptiles in the snow?
Positive ,We're glad to see these Movies and Sequels. It's golden era of Cinema.
Negative ,Very bad movie...I hate this
Negative ,honestly a 6/10 movie
Negative ,"Boring, bad storyline..."
Positive ,"Pretty good t-rex gets to fight giga, blue comes back, and dinosaurs are here!"
Positive ,See it in Dolby YOU WILL NOT REGRET IT ...felt like a Universal Studios attraction
Negative ,I had high hopes that this movie would be good but I was disappointed :(
Neutral ,Can you add the megalodon shark
Positive ,Can't Wait To Watch Bryce & Pratt Again One Last Time!
Neutral ,Lots of guns?
Positive ,The EPIC Conclusion Coming This Summer HYPED
Negative ,Saw it today...omfg..how it was able to be worse than the last film which was a shitshow is beyond me but it was
Negative ,Just saw this worse one out of the whole franchise
Negative ,"If we comparing this one to the previous ones ,,, its the Worsttttttt between them 💔"
Negative ,This film was awful
Neutral ,Has anyone already seen this movie?
Negative ,"This film was so bad, i almost had a seizure. True story"
Neutral ,Average??
Neutral ,what is the dinosaur name
Positive ,"OMG .... just watched it, get ready to move a lot  in your seat. I feel like this was one of the best."
Negative ,The CGI looks like a downgrade to its predecessors 😢
Negative ,omg this is SHIT
Positive ,#stop_hating_JWD
Negative ,The film was horrible smh and I love the Jurassic franchise
Negative ,Was not impressed sadly as per previous.
Negative ,"Thankfully the last part, too many dinos. Storyline very poor"
Positive ,😮😮😮😮😮😮😮😮😮😮😮Everybodys There!!!!!!!!!SCREEEEEEEEEEM😁
Neutral ,Seagulls are since dinosaur age the arctic char came from a dinosaur and fossil fuel is from dinosaurs
Negative ,"Never seen so many people keep constantly checking their time on the phones just to walk out of the theatre before, and then there's this movie"
Positive ,Cant wait to go watch it!
Negative ,Worst movie ever was looking forward to it the dinos looked fake and animated rate the movie 2/10
Neutral ,Watched it
Positive ,It so beautiful 🥺❤️
Negative ,the movie was ass.
Negative ,Save the money. Saw this and it was a stinker. In the end dinosaurs all live happily ever after? Hahahahaha.
Positive ,worth watching it....i personally loved it. Actions in this movie are fucking incredible you're gonna just love it🖤
Positive ,So exited
Neutral ,Can someone please have Pyroraptor ??and Baby Blue ??perform the Sacred Marriage? ????????
Neutral ,A feathered dinosaur in a movie
Positive ,"Awesome movie! 100% the best of the series! Go watch it! The critics hate action movies, so they will hate this too."
Negative ,"No new movie can beat the first three, as nowadays movies are made to maximize profits not to be good movies"
Negative ,Movie was trash 🗑
Neutral ,Why does he wave his hand like that is he some kind of Jedi?
Negative ,sh*t movie
Negative ,booooorrrinnnnnggggggggg movie! lack of story!
Negative ,We are asking Jurassic park not Jurassic city......🤦🤦🤦
Negative ,No Jurassic movie has come close to the first
Negative ,"First one was good movie, these sequels seem to go down to drain."
Negative ,"im gonna have too sir thru this yall, my wife is a fan... God, this is gonna hurt."
Neutral ,For a second there; I thought it was shaunte' massard from darr man.
Negative ,1/10 movie lol waste of money
Neutral ,Somebody know what is the song in background ?
Negative ,I just want to know who made this movie. I’m very disappointed.
Negative ,Yawn !
Negative ,Pretty annoying in theatres…. Every scene has like loud music lol literally
Negative ,This movie was trash. Soo bad that ppl walked out or fell asleep. Even super high I found it terrible
Negative ,"Garbage movie., dont waste ur money n time"
Neutral ,How many times can a character escape death in a single trailer?
Positive ,I won’t miss this one no matter what
Negative ,misleading
Positive ,"Very sad that this will be the last one, but the trailer looks fantastic"
Positive ,omg can't wait to see this movie epic
Negative ,This movie is gave me terminal cancer
Neutral ,is this the last JP movie ?
Positive ,I’ve waited too long!!!! I cannot wait to see this!!!
Positive ,Omg cant wait to see this movie its going to be so gooooood 😍
Positive ,this easily looks the best of the new trilogy
Negative ,"if I find director of this movie, I will slap"
Negative ,This movie sucked jp3 is actually better
Neutral ,so so
Positive ,Wow ❤️😀
Positive ,can't express how much I have loved this franchise. wish could see this movie on big screen
Neutral ,"Funny you don't see any Mammoths in these films, because we can clone them in real life unlike dinosaurs."
Positive ,i feel like i'm that kid again first seeing JP1. So exciting to see this epic conclusion to all of it.
Positive ,Awsome
Negative ,This film was Corny......
Negative ,12 minutes is about all I could take. what a stupid fkn movie
Negative ,just a bad movie....
Negative ,At this point I’m fed up with Chris Pratt and his magic hand able to tame any dinosaur by teaching out like he is a Jedi master
Negative ,BOOOOOOOOOO
Positive ,Best movie yet
Positive ,Nostalgia <3
Neutral ,I am going to watch this movie tonight
Positive ,BABY BLUE!!!!!!!!!!!!!!!😍😍😍😍😍😍😍😍😍😍😍😍😍
Positive ,OH MY IM SO EXCITED TO SEE ITT YAY!!
Neutral ,Who have been watch it? How many start will u give out of 10
